Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged,Death,Date,Latitude,Longitude
Andhra Pradesh,1,0,0,0,2020-03-16,15.9129,79.74
Delhi,7,0,2,1,2020-03-16,28.7041,77.1025
Haryana,0,14,0,0,2020-03-16,29.0588,76.0856
Karnataka,6,0,0,1,2020-03-16,15.3173,75.7139
Kerala,23,0,3,0,2020-03-16,10.8505,76.2711
Maharashtra,32,0,0,0,2020-03-16,19.7515,75.7139
Odisha,1,0,0,0,2020-03-16,20.9517,85.0985
Punjab,1,0,0,0,2020-03-16,31.1471,75.3412
Rajasthan,2,2,3,0,2020-03-16,27.0238,74.2179
Tamil Nadu,1,0,0,0,2020-03-16,11.1271,78.6569
Telengana,3,0,1,0,2020-03-16,18.1124,79.0193
Union Territory of Jammu and Kashmir,3,0,0,0,2020-03-16,33.7782,76.5762
Union Territory of Ladakh,4,0,0,0,2020-03-16,34.2996,78.2932
Uttar Pradesh,12,1,4,0,2020-03-16,26.8467,80.9462
Uttarakhand,1,0,0,0,2020-03-16,30.0668,79.0193
